"wavelength_nm","otc_arbunits","lamp_arbunits","absorbance"
607.064,48044.44,51995.002,0.03431846
607.403,48253.693,52204.636,0.03417852
607.743,48157.137,52059.559,0.03383982
608.083,48057.135,51990.795,0.03416859
608.422,47860.098,51772.173,0.03412281
608.762,48050.463,52053.074,0.0347488
609.102,47973.605,51949.324,0.03457755
609.441,47908.266,51847.418,0.03431668
609.781,47873.929,51811.586,0.03432782
610.121,47633.509,51507.721,0.03395976
610.461,47523.073,51382.658,0.03391205
610.8,47627.688,51520.956,0.03412441
611.14,47458.276,51313.4,0.03391884
611.48,47198.732,51079.101,0.03431291
611.819,47231.336,50994.956,0.033297
612.159,47272.712,51114.486,0.03393348
612.499,47208.921,51083.908,0.03426004
612.838,47126.622,50922.881,0.03364666
613.178,46938.356,50730.243,0.03373907
613.518,46927.027,50713.104,0.03369716
613.857,46938.852,50671.279,0.0332294
614.197,46831.586,50623.679,0.03381484
614.537,46665.085,50417.974,0.03359333
614.876,46612.079,50350.124,0.03350207
615.216,46498.791,50235.682,0.03357065
615.556,46453.082,50155.841,0.03330698
615.896,46331.994,50097.336,0.03393365
616.235,46242.457,49952.284,0.03351445
616.575,46105.459,49765.637,0.03317722
616.915,46047.637,49729.305,0.03340504
617.254,45987.04,49671.76,0.03347409
617.594,45747.011,49444.726,0.03375725
617.934,45795.335,49438.27,0.03324202
618.273,45712.737,49298.311,0.03279482
618.613,45580.708,49188.059,0.03307862
618.953,45510.201,49131.08,0.03324756
619.292,45360.576,48987.645,0.033408
619.632,45361.685,49035.878,0.03382478
619.972,45317.242,48957.342,0.03355436
620.311,45094.093,48683.14,0.03325892
620.651,44987.54,48517.005,0.03280174
620.991,44779.933,48306.047,0.03291806
621.331,44620.891,48133.793,0.03291185
621.67,44516.02,48053.481,0.03320852
622.01,44447.121,47924.239,0.03271159
622.35,44258.466,47740.35,0.03288924
622.689,44250.209,47688.96,0.03250252
623.029,44346.917,47806.366,0.0326223
623.369,44018.424,47442.693,0.03253485
623.708,43965.905,47534.193,0.03389011
624.048,44017.132,47537.058,0.03341055
624.388,43966.804,47456.002,0.03316625
624.727,43716.532,47114.553,0.03250937
625.067,43892.554,47382.494,0.03322706
625.407,43780.36,47289.579,0.03348613
625.746,43671.357,47089.395,0.03272642
626.086,43793.463,47406.554,0.0344291
626.426,43738.577,47197.847,0.03305754
626.766,43852.011,47361.503,0.03343596
627.105,43790.416,47283.295,0.03332867
627.445,43801.421,47273.393,0.03312858
627.785,43824.412,47354.519,0.03364533
628.124,43880.57,47399.139,0.03349819
628.464,44019.162,47531.881,0.03334324
628.804,44106.409,47626.27,0.03334488
629.143,44077.73,47652.741,0.03386866
629.483,43832.846,47402.854,0.03400482
629.823,44085.798,47603.114,0.03333665
630.162,44347.395,47917.712,0.03362795
630.502,44174.321,47708.607,0.03342685
630.842,44189.078,47697.323,0.03317907
631.182,44434.598,47886.464,0.03249152
631.521,44462.627,47978.229,0.0330491
631.861,44450.293,48029.323,0.03363184
632.201,44473.342,48073.647,0.0338073
632.54,44571.62,48180.081,0.03380911
632.88,44633.38,48150.965,0.03294522
633.22,44737.796,48279.401,0.03308729
633.559,44797.283,48394.94,0.03354828
633.899,44770.595,48336.831,0.03328531
634.239,44897.006,48417.361,0.03278373
634.578,44841.962,48350.878,0.03271976
634.918,44788.273,48354.349,0.03327122
635.258,44894.189,48468.697,0.03327121
635.597,44937.247,48504.546,0.03317599
635.937,44934.631,48489.99,0.03307091
636.277,45061.084,48734.624,0.03403598
636.617,45002.718,48597.41,0.03337438
636.956,44928.605,48553.34,0.03369618
637.296,45052.602,48625.19,0.03314143
637.636,45234.264,48766.696,0.03265581
637.975,44951.387,48453.123,0.03257868
638.315,44905.41,48405.638,0.03259728
638.655,44777.273,48269.431,0.03261454
638.994,45239.041,48756.336,0.03251767
639.334,44953.223,48451.158,0.03254333
639.674,44742.165,48206.277,0.03238659
640.013,45039.243,48455.629,0.03175315
640.353,44782.821,48250.517,0.03239052
640.693,44752.773,48150.159,0.03177777
641.032,44868.996,48302.874,0.03202662
641.372,44664.16,48185.083,0.03295343
641.712,44747.713,48173.387,0.03203634
642.052,44746.749,48202.732,0.03231016
642.391,44479.644,47952.93,0.03265385
642.731,44310.274,47757.714,0.0325391
643.071,44300.703,47740.017,0.03247195
643.41,44316.736,47764.945,0.03254152
643.75,44315.357,47711.213,0.0320662
644.09,44251.124,47623.411,0.03189619
644.429,44197.553,47546.212,0.0317177
644.769,44192.384,47503.305,0.0313764
645.109,44218.844,47549.86,0.03154186
645.448,44006.642,47350.017,0.03180191
645.788,43890.307,47174.523,0.03133889
646.128,43957.542,47238.552,0.03126318
646.467,43727.087,46969.745,0.03106766
646.807,43641.887,46916.738,0.03142428
647.147,43722.44,46978.74,0.03119697
647.487,43657.379,46883.13,0.03095894
647.826,43493.535,46708.446,0.0309707
648.166,43432.888,46514.888,0.02977327
648.506,43419.74,46600.73,0.03070551
648.845,43268.507,46441.393,0.03073333
649.185,43120.597,46239.105,0.03032466
649.525,43192.935,46318.507,0.03034183
649.864,43052.143,46092.286,0.02963347
650.204,43026.903,46032.321,0.02932279
650.544,42979.536,45975.377,0.02926358
650.883,42660.67,45661.202,0.02951967
651.223,42673.116,45664.088,0.02942043
651.563,42624.039,45561.311,0.02894161
651.902,42509.14,45388.837,0.02846673
652.242,42504.044,45436.83,0.02897777
652.582,42456.653,45378.924,0.02890844
652.922,42381.791,45326.757,0.02917535
653.261,42346.095,45228.53,0.02859911
653.601,42325.142,45212.648,0.02866152
653.941,42075.055,44930.782,0.02851928
654.28,42081.842,44900.18,0.02815334
654.62,41955.044,44775.992,0.02826103
654.96,41813.593,44568.297,0.02770854
655.299,41720.575,44446.582,0.02748808
655.639,41701.521,44509.54,0.02830121
655.979,41537.912,44279.06,0.02775374
656.318,41445.673,44159.277,0.02754276
656.658,41415.739,44083.535,0.027111
656.998,41361.386,44053.572,0.02738604
657.338,41292.278,44012.641,0.02770858
657.677,41066.949,43702.678,0.02701561
658.017,40747.72,43441.672,0.02780322
658.357,40918.709,43493.21,0.02649955
658.696,40733.81,43423.701,0.02777181
659.036,40946.769,43517.067,0.02643997
659.376,40542.147,43183.891,0.02741502
659.715,40349.689,42957.87,0.02720255
660.055,40391.751,42968.168,0.02685416
660.395,40237.94,42727.647,0.02607324
660.734,40208.257,42722.771,0.02634417
661.074,40082.251,42577.482,0.02622787
661.414,40007.665,42501.23,0.02625829
661.753,39988.071,42438.71,0.02583172
662.093,39836.236,42275.647,0.02581197
662.433,39648.339,42047.29,0.02551302
662.773,39523.678,41979.796,0.02618297
663.112,39427.96,41833.232,0.02571711
663.452,39333.938,41731.293,0.02569441
663.792,39343.525,41744.189,0.02572276
664.131,39150.268,41567.602,0.02602023
664.471,39026.18,41364.786,0.02527474
664.811,38963.188,41338.299,0.02569812
665.15,38883.013,41219.978,0.02534785
665.49,38742.419,41057.468,0.02520542
665.83,38670.532,40996.687,0.02536861
666.169,38572.627,40828.681,0.02468613
666.509,38468.223,40794.011,0.02549428
666.849,38278.408,40496.464,0.02446323
667.188,38270.501,40487.952,0.02446166
667.528,37953.341,40191.653,0.02488586
667.868,38069.077,40261.066,0.02431291
668.208,37900.1,40104.629,0.02455414
668.547,37876.164,40097.894,0.02475557
668.887,37754.502,39907.328,0.02408391
669.227,37410.683,39598.897,0.02468745
669.566,37505.41,39625.769,0.02388379
669.906,37405.839,39512.797,0.02379837
670.246,37194.301,39283.252,0.02373103
670.585,37169.314,39267.287,0.02384635
670.925,37034.942,39161.929,0.0242524
671.265,36832.094,38867.429,0.02335941
671.604,36772.526,38783.476,0.02312327
671.944,36728.397,38839.208,0.02426838
672.284,36572.998,38701.209,0.02456397
672.623,36433.95,38522.686,0.02421031
672.963,36358.551,38419.18,0.02394152
673.303,36165.002,38155.987,0.0232742
673.643,36023.171,38050.051,0.02377331
673.982,35887.581,37867.696,0.02332471
674.322,35773.974,37773.878,0.02362439
674.662,35758.956,37826.886,0.02441576
675.001,35501.944,37505.403,0.0238417
675.341,35548.319,37482.877,0.02301385
675.681,35292.816,37252.107,0.02346452
676.02,35199.515,37259.963,0.02470573
676.36,35170.644,37167.864,0.02398728
676.7,34991.313,36873.549,0.02275469
677.039,34854.327,36753.512,0.02304214
677.379,34724.539,36633.832,0.02324586
677.719,34533.885,36464.154,0.02362071
678.058,34446.017,36335.9,0.02319691
678.398,34458.948,36368.609,0.02342468
678.738,34347.315,36273.269,0.02369391
679.078,34156.503,36033.755,0.02323611
679.417,33932.137,35765.215,0.02284963
679.757,33976.479,35786.156,0.02253668
680.097,33994.273,35828.835,0.02282693
680.436,33639.755,35514.733,0.02355574
680.776,33503.219,35294.835,0.02262462
681.116,33349.628,35132.778,0.0226215
681.455,33372.426,35190.892,0.0230425
681.795,33145.022,34969.652,0.02327299
682.135,33076.958,34917.164,0.02351341
682.474,33094.137,34884.686,0.02288375
682.814,32879.581,34752.387,0.02405836
